ciad,codigoOACI,airport_name,state,city,altitude,latgeopoint,longeopoint,latitude,longitude
MG0013,SNPY,São Sebastião do Paraíso,Minas Gerais,SÃO SEBASTIÃO DO PARAÍSO,950.0,-20.948333,-46.983056,"20°56'54""S","046°58'59""W"
SC0181,SNCP,Aeroporto Ricardo Sell Wagner - Regional da Serra Catarinense,Santa Catarina,CORREIA PINTO,880.0,-27.634167,-50.358333,"27°38'03""S","050°21'30""W"
SC0016,SSKU,Lauro Antônio da Costa,Santa Catarina,CURITIBANOS,978.0,-27.287222,-50.603889,"27°17'14""S","050°36'14""W"
CE0011,SNWC,Camocim,Ceará,CAMOCIM,14.0,-2.8958333,-40.858889,"02°53'45""S","040°51'32""W"
MG0063,SNFU,Frutal,Minas Gerais,FRUTAL,549.0,-20.004722,-48.958889,"20°00'17""S","048°57'32""W"
GO0009,SWLC,General Leite de Castro,Goiás,RIO VERDE,751.0,-17.834722,-50.956111,"17°50'05""S","050°57'22""W"
GO0001,SBGO,Santa Genoveva,Goiás,GOIÂNIA,747.0,-16.6325,-49.221111,"16°37'57""S","049°13'16""W"
PR0014,SSAP,Capitão João Busse,Paraná,APUCARANA,800.0,-23.612222,-51.385,"23°36'44""S","051°23'06""W"
SC0015,SSOE,Hélio Wasum,Santa Catarina,DESCANSO,665.0,-26.781111,-53.503333,"26°46'52""S","053°30'12""W"
PR0017,SSKM,Campo Mourão,Paraná,CAMPO MOURÃO,574.0,-24.0025,-52.356944,"24°00'09""S","052°21'25""W"
RO0006,SBGM,Guajará-Mirim,Rondônia,GUAJARÁ-MIRIM,146.0,-10.788333,-65.281667,"10°47'18""S","065°16'54""W"
GO0004,SWNS,Anápolis,Goiás,ANÁPOLIS,1112.0,-16.3625,-48.928056,"16°21'45""S","048°55'41""W"
PE0002,SBPL,Aeroporto Internacional Senador Nilo Coelho,Pernambuco,PETROLINA,384.0,-9.3675,-40.563611,"09°22'03""S","040°33'49""W"
RS0008,SBNM,Santo Ângelo,Rio Grande do Sul,SANTO ÂNGELO,322.0,-28.281667,-54.168333,"28°16'54""S","054°10'06""W"
RJ0028,SBFS,Farol de São Tomé,Rio de Janeiro,CAMPOS DOS GOYTACAZES,2.0,-22.030556,-41.068611,"22°01'50""S","041°04'07""W"
SP0003,SBKP,Viracopos,São Paulo,CAMPINAS,661.0,-23.006944,-47.134444,"23°00'25""S","047°08'04""W"
RS0013,SJRG,Regional de Rio Grande,Rio Grande do Sul,RIO GRANDE,6.0,-32.083611,-52.167778,"32°05'01""S","052°10'04""W"
AL0003,SNAL,Arapiraca,Alagoas,ARAPIRACA,270.0,-9.7763889,-36.630556,"09°46'35""S","036°37'50""W"
GO0010,SWPZ,Ouriçanga de Abreu,Goiás,POSSE,841.0,-14.118056,-46.345278,"14°07'05""S","046°20'43""W"
