ciad,codigoOACI,airport_name,state,city,altitude,latgeopoint,longeopoint,latitude,longitude
PA0028,SJTS,Terra Santa,Pará,TERRA SANTA,25.0,-2.0727778,-56.488889,"02°04'22""S","056°29'20""W"
RS0024,SSRZ,Dário Brasil Capoano de Oliveira,Rio Grande do Sul,ROSÁRIO DO SUL,102.0,-30.2775,-54.925278,"30°16'39""S","054°55'31""W"
SP0068,SDMO,Monte Alto,São Paulo,MONTE ALTO,750.0,-21.258056,-48.524167,"21°15'29""S","048°31'27""W"
AM0017,SWBC,Barcelos,Amazonas,BARCELOS,34.0,-0.98111111,-62.919444,"00°58'52""S","062°55'10""W"
PB0010,SIBZ,Itaporanga,Paraíba,ITAPORANGA,292.0,-7.3111111,-38.113611,"07°18'40""S","038°06'49""W"
GO0025,SWUZ,Brigadeiro Araripe Macedo,Goiás,LUZIÂNIA,996.0,-16.261667,-47.968611,"16°15'42""S","047°58'07""W"
PA0024,SNYA,Aeródromo Público de Almeirim,Pará,ALMEIRIM,178.0,-1.4791667,-52.578056,"01°28'45""S","052°34'41""W"
MG0055,SNUN,Unaí,Minas Gerais,UNAÍ,600.0,-16.353889,-46.926944,"16°21'14""S","046°55'37""W"
MT0024,SWEK,Canarana,Mato Grosso,CANARANA,398.0,-13.5775,-52.268056,"13°34'39""S","052°16'05""W"
MT0025,SILC,AEROPORTO MUNICIPAL BOM FUTURO,Mato Grosso,LUCAS DO RIO VERDE,414.0,-13.037778,-55.950278,"13°02'16""S","055°57'01""W"
SC0022,SSSS,São Francisco do Sul,Santa Catarina,SÃO FRANCISCO DO SUL,15.0,-26.221111,-48.564444,"26°13'16""S","048°33'52""W"
PR0037,SSGW,Manoel Ribas,Paraná,GOIOERÊ,491.0,-24.219722,-53.043889,"24°13'11""S","053°02'38""W"
MS0002,SSIE,Teruel Ipanema Estância,Mato Grosso do Sul,CAMPO GRANDE,528.0,-20.603889,-54.595278,"20°36'14""S","054°35'43""W"
MT0007,SWJN,Juína,Mato Grosso,JUÍNA,330.0,-11.419444,-58.71,"11°25'10""S","058°42'36""W"
PB0009,SIBY,Lourival Nunes de Farias,Paraíba,MONTEIRO,622.0,-7.8783333,-37.136667,"07°52'42""S","037°08'12""W"
RN0004,SNKN,Currais Novos,Rio Grande do Norte,CURRAIS NOVOS,367.0,-6.2808333,-36.540278,"06°16'51""S","036°32'25""W"
BA0048,SNRD,Prado,Bahia,PRADO,27.0,-17.296944,-39.271944,"17°17'49""S","039°16'19""W"
MT0662,SDH2,Porto Alegre do Norte,Mato Grosso,PORTO ALEGRE DO NORTE,217.0,-10.918056,-51.608889,"10°55'05""S","051°36'32""W"
MS0010,SSPN,Paranaíba,Mato Grosso do Sul,PARANAÍBA,442.0,-19.651111,-51.199444,"19°39'04""S","051°11'58""W"
MG0021,SNAP,Janaúba,Minas Gerais,JANAÚBA,532.0,-15.731944,-43.323056,"15°43'55""S","043°19'23""W"
TO0005,SJGU,Araguatins,Tocantins,ARAGUATINS,125.0,-5.6858333,-48.114167,"05°41'09""S","048°06'51""W"
PA0012,SBTB,Trombetas,Pará,ORIXIMINÁ,51.0,-1.4897222,-56.396944,"01°29'23""S","056°23'49""W"
MS0563,SDK7,Nova Andradina,Mato Grosso do Sul,NOVA ANDRADINA,419.0,-22.1625,-53.330278,"22°09'45""S","053°19'49""W"
RS0042,SSOS,Osório,Rio Grande do Sul,OSÓRIO,17.0,-29.902222,-50.249167,"29°54'08""S","050°14'57""W"
RS0048,SSAK,Carlos Ruhl,Rio Grande do Sul,CRUZ ALTA,481.0,-28.658611,-53.611389,"28°39'31""S","053°36'41""W"
SC0012,SND6,Dionísio Cerqueira,Santa Catarina,DIONÍSIO CERQUEIRA,824.0,-26.288056,-53.630833,"26°17'17""S","053°37'51""W"
PA0013,SNFX,São Félix do Xingu,Pará,SÃO FÉLIX DO XINGU,183.0,-6.6413889,-51.952222,"06°38'29""S","051°57'08""W"
BA0010,SNIO,Cipó,Bahia,CIPÓ,223.0,-11.125278,-38.486944,"11°07'31""S","038°29'13""W"
AM0015,SBMY,Manicoré,Amazonas,MANICORÉ,53.0,-5.8111111,-61.278333,"05°48'40""S","061°16'42""W"
RS0025,SSWS,Caçapava do Sul,Rio Grande do Sul,CAÇAPAVA DO SUL,416.0,-30.549722,-53.458056,"30°32'59""S","053°27'29""W"
RS0002,SSBN,Belém Novo,Rio Grande do Sul,PORTO ALEGRE,5.0,-30.189167,-51.1825,"30°11'21""S","051°10'57""W"
AM0024,SWLB,Lábrea,Amazonas,LÁBREA,74.0,-7.2788889,-64.769444,"07°16'44""S","064°46'10""W"
PA0030,SNDC,Redenção,Pará,REDENÇÃO,207.0,-8.0311111,-49.979722,"08°01'52""S","049°58'47""W"
AM0002,SWFN,Flores,Amazonas,MANAUS,62.0,-3.0727778,-60.021111,"03°04'22""S","060°01'16""W"
BA0018,SNXQ,Xique-Xique,Bahia,XIQUE-XIQUE,427.0,-10.834167,-42.683333,"10°50'03""S","042°41'00""W"
MA0003,SBCI,Brigadeiro Lysias Augusto Rodrigues,Maranhão,CAROLINA,172.0,-7.3205556,-47.458611,"07°19'14""S","047°27'31""W"
MG0053,SNJQ,Jequitinhonha,Minas Gerais,JEQUITINHONHA,234.0,-16.441389,-41.037222,"16°26'29""S","041°02'14""W"
PA0008,SBAA,Conceição do Araguaia,Pará,CONCEIÇÃO DO ARAGUAIA,199.0,-8.3486111,-49.303056,"08°20'55""S","049°18'11""W"
RS0036,SSAQ,Aeroclube de Passo Fundo,Rio Grande do Sul,PASSO FUNDO,600.0,-28.250556,-52.516667,"28°15'02""S","052°31'00""W"
SE0001,SBAR,Santa Maria,Sergipe,ARACAJU,7.0,-10.985278,-37.073333,"10°59'07""S","037°04'24""W"
MG0052,SNPA,Pará de Minas,Minas Gerais,PARÁ DE MINAS,839.0,-19.8425,-44.600833,"19°50'33""S","044°36'03""W"
MG0075,SNMN,Minas Novas,Minas Gerais,MINAS NOVAS,825.0,-17.263889,-42.539167,"17°15'50""S","042°32'21""W"
PA0020,SNMZ,Porto de Moz,Pará,PORTO DE MOZ,16.0,-1.7413889,-52.235833,"01°44'29""S","052°14'09""W"
GO0017,SWNH,Aruanã,Goiás,ARUANÃ,250.0,-14.933056,-51.048333,"14°55'59""S","051°02'54""W"
GO0023,SWCB,Campos Belos,Goiás,CAMPOS BELOS,690.0,-13.006944,-46.710833,"13°00'25""S","046°42'39""W"
MG0057,SNOF,Ouro Fino,Minas Gerais,OURO FINO,857.0,-22.297222,-46.3925,"22°17'50""S","046°23'33""W"
CE0009,SNCS,Campos Sales,Ceará,CAMPOS SALES,615.0,-7.0516667,-40.358333,"07°03'06""S","040°21'30""W"
MS0017,SDXJ,Costa Rica,Mato Grosso do Sul,COSTA RICA,738.0,-18.491389,-53.168333,"18°29'29""S","053°10'06""W"
BA0023,SNED,Sócrates Rezende,Bahia,CANAVIEIRAS,6.0,-15.666389,-38.955278,"15°39'59""S","038°57'19""W"
RO0007,SWCQ,Costa Marques,Rondônia,COSTA MARQUES,169.0,-12.421667,-64.251667,"12°25'18""S","064°15'06""W"
RS0043,SSPL,Palmeira das Missões,Rio Grande do Sul,PALMEIRA DAS MISSÕES,613.0,-27.901667,-53.33,"27°54'06""S","053°19'48""W"
SP0065,SDUB,Estadual Gastão Madeira,São Paulo,UBATUBA,3.0,-23.441389,-45.076111,"23°26'29""S","045°04'34""W"
GO0016,SWNQ,Niquelândia,Goiás,NIQUELÂNDIA,840.0,-14.436389,-48.491944,"14°26'11""S","048°29'31""W"
SP0056,SDIV,Ituverava,São Paulo,ITUVERAVA,623.0,-20.375278,-47.768611,"20°22'31""S","047°46'07""W"
PA0009,SBMD,Monte Dourado,Pará,ALMEIRIM,206.0,-0.88972222,-52.602222,"00°53'23""S","052°36'08""W"
MG0066,SNRP,Rio Paranaíba,Minas Gerais,RIO PARANAÍBA,1145.0,-19.2125,-46.240556,"19°12'45""S","046°14'26""W"
SP0071,SDLY,Armando Natali,São Paulo,MATÃO,635.0,-21.624167,-48.350833,"21°37'27""S","048°21'03""W"
BA0057,SNIP,Itapetinga,Bahia,ITAPETINGA,270.0,-15.244444,-40.277222,"15°14'40""S","040°16'38""W"
PR0013,SSQT,Castro,Paraná,CASTRO,1010.0,-24.8075,-49.959444,"24°48'27""S","049°57'34""W"
RS0035,SSSG,São Gabriel,Rio Grande do Sul,SÃO GABRIEL,145.0,-30.345,-54.267778,"30°20'42""S","054°16'04""W"
MG0050,SNJM,Regional de Santo Amaro de Minas,Minas Gerais,MANHUAÇU,829.0,-20.259722,-42.183889,"20°15'35""S","042°11'02""W"
PR0028,SSPT,Brasílio Marques,Paraná,PALOTINA,373.0,-24.343333,-53.828611,"24°20'36""S","053°49'43""W"
RS0049,SSIR,Ibirubá,Rio Grande do Sul,IBIRUBÁ,457.0,-28.604167,-53.078611,"28°36'15""S","053°04'43""W"
PA0016,SNTI,Óbidos,Pará,ÓBIDOS,100.0,-1.8680556,-55.514444,"01°52'05""S","055°30'52""W"
MG0040,SNLI,Abaeté,Minas Gerais,ABAETÉ,664.0,-19.155833,-45.495,"19°09'21""S","045°29'42""W"
BA0050,SNVD,Santa Maria da Vitória,Bahia,SANTA MARIA DA VITÓRIA,465.0,-13.404722,-44.223056,"13°24'17""S","044°13'23""W"
RS0022,SSLT,Gaudêncio Machado Ramos,Rio Grande do Sul,ALEGRETE,125.0,-29.8125,-55.893333,"29°48'45""S","055°53'36""W"
MT0612,SI68,Gelindo Stefanuto,Mato Grosso,CAMPO NOVO DO PARECIS,593.0,-13.731389,-57.891667,"13°43'53""S","057°53'30""W"
MG0074,SNVC,Viçosa,Minas Gerais,VIÇOSA,659.0,-20.745,-42.841389,"20°44'42""S","042°50'29""W"
SC0020,SND4,Ismael Nunes,Santa Catarina,SÃO JOAQUIM,1426.0,-28.245556,-49.8975,"28°14'44""S","049°53'51""W"
GO0005,SDOV,Mozarlândia,Goiás,MOZARLÂNDIA,328.0,-14.768889,-50.565,"14°46'08""S","050°33'54""W"
PR0030,SSRE,Realeza,Paraná,REALEZA,501.0,-25.801111,-53.513056,"25°48'04""S","053°30'47""W"
MG0060,SNFO,Formiga,Minas Gerais,FORMIGA,1017.0,-20.394722,-45.483056,"20°23'41""S","045°28'59""W"
PI0007,SNGG,Bom Jesus do Gurguéia,Piauí,BOM JESUS,338.0,-9.0594444,-44.369167,"09°03'34""S","044°22'09""W"
TO0007,SJAU,Araguacema,Tocantins,ARAGUACEMA,207.0,-8.8377778,-49.557778,"08°50'16""S","049°33'28""W"
PA0011,SBEK,Jacareacanga,Pará,JACAREACANGA,101.0,-6.2352778,-57.775833,"06°14'07""S","057°46'33""W"
BA0065,SNMR,Maraú,Bahia,MARAÚ,9.0,-14.143333,-39.006667,"14°08'36""S","039°00'24""W"
SP0048,SDLL,Yolanda Penteado,São Paulo,LEME,627.0,-22.225833,-47.380833,"22°13'33""S","047°22'51""W"
MG0045,SNUI,Araçuaí,Minas Gerais,ARAÇUAÍ,328.0,-16.851944,-42.046111,"16°51'07""S","042°02'46""W"
GO0020,SDXF,Alto Paraíso de Goiás,Goiás,ALTO PARAÍSO DE GOIÁS,1339.0,-14.119167,-47.530278,"14°07'09""S","047°31'49""W"
MS0019,SSJI,Jardim,Mato Grosso do Sul,JARDIM,321.0,-21.492778,-56.1525,"21°29'34""S","056°09'09""W"
TO0008,SWTO,Paraíso do Tocantins,Tocantins,PARAÍSO DO TOCANTINS,353.0,-10.173889,-48.932778,"10°10'26""S","048°55'58""W"
SP0044,SSCB,Municipal de Casa Branca,São Paulo,CASA BRANCA,712.0,-21.788056,-47.055556,"21°47'17""S","047°03'20""W"
RS0054,SSEE,Regional do Vale do Taquari,Rio Grande do Sul,LAJEADO,29.0,-29.455,-51.936111,"29°27'18""S","051°56'10""W"
MA0008,SSRS,Barreirinhas,Maranhão,BARREIRINHAS,12.0,-2.7566667,-42.803333,"02°45'24""S","042°48'12""W"
RS0028,SSJK,Júlio de Castilhos,Rio Grande do Sul,TUPANCIRETÃ,498.0,-29.153056,-53.743333,"29°09'11""S","053°44'36""W"
SP0022,SDMJ,Mogi Mirim,São Paulo,MOGI MIRIM,695.0,-22.410833,-46.905556,"22°24'39""S","046°54'20""W"
BA0022,SNRM,Remanso,Bahia,REMANSO,406.0,-9.58,-42.115833,"09°34'48""S","042°06'57""W"
MG0071,SNKF,Das Bandeirinhas,Minas Gerais,CONSELHEIRO LAFAIETE,1057.0,-20.738611,-43.7975,"20°44'19""S","043°47'51""W"
MG0076,SNSI,Santa Maria do Suaçuí,Minas Gerais,SANTA MARIA DO SUAÇUÍ,480.0,-18.198611,-42.466111,"18°11'55""S","042°27'58""W"
SP0072,SDPD,Pindamonhangaba,São Paulo,PINDAMONHANGABA,574.0,-22.943889,-45.431944,"22°56'38""S","045°25'55""W"
SP0052,SDEP,Geraldo Moacir Bordon,São Paulo,PRESIDENTE EPITÁCIO,297.0,-21.775,-52.143611,"21°46'30""S","052°08'37""W"
PA0250,SNSM,Salinópolis,Pará,SALINÓPOLIS,36.0,-0.69638889,-47.336667,"00°41'47""S","047°20'12""W"
PR0007,SSVL,Telêmaco Borba,Paraná,TELÊMACO BORBA,796.0,-24.316389,-50.652222,"24°18'59""S","050°39'08""W"
RS0091,SSBG,Municipal de Bento Gonçalves,Rio Grande do Sul,BENTO GONÇALVES,671.0,-29.1475,-51.540833,"29°08'51""S","051°32'27""W"
RS0030,SSVN,Veranópolis,Rio Grande do Sul,VERANÓPOLIS,676.0,-28.935556,-51.567778,"28°56'08""S","051°34'04""W"
PE0010,SNPQ,Pesqueira,Pernambuco,PESQUEIRA,630.0,-8.3747222,-36.637778,"08°22'29""S","036°38'16""W"
MS0015,SSNB,Ariosto da Riva,Mato Grosso do Sul,NAVIRAÍ,406.0,-23.034167,-54.177778,"23°02'03""S","054°10'40""W"
SP0069,SDTB,Atibaia,São Paulo,ATIBAIA,797.0,-23.128333,-46.574722,"23°07'42""S","046°34'29""W"
BA0067,SBTC,UNA/COMANDATUBA,Bahia,UNA,7.0,-15.353333,-38.997222,"15°21'12""S","038°59'50""W"
MS0796,SD5Q,Inocência,Mato Grosso do Sul,INOCÊNCIA,554.0,-19.760556,-51.896389,"19°45'38""S","051°53'47""W"
PA0027,SDWQ,Alenquer,Pará,ALENQUER,31.0,-1.9169444,-54.722778,"01°55'01""S","054°43'22""W"
AM0014,SWOB,Fonte Boa,Amazonas,FONTE BOA,63.0,-2.5325,-66.083333,"02°31'57""S","066°05'00""W"
MT0010,SWPG,Porto dos Gaúchos,Mato Grosso,PORTO DOS GAÚCHOS,400.0,-11.54,-57.378056,"11°32'24""S","057°22'41""W"
RS0041,SSNP,Ilmo Aloísio Blume,Rio Grande do Sul,NOVA PRATA,698.0,-28.803889,-51.602222,"28°48'14""S","051°36'08""W"
SP0053,SDAE,São Pedro,São Paulo,SÃO PEDRO,566.0,-22.583611,-47.896111,"22°35'01""S","047°53'46""W"
BA0030,SNIU,Ipiaú,Bahia,IPIAÚ,132.0,-14.173333,-39.684167,"14°10'24""S","039°41'03""W"
RJ0010,SDAG,Angra Dos Reis,Rio de Janeiro,ANGRA DOS REIS,3.0,-22.975278,-44.307222,"22°58'31""S","044°18'26""W"
AM0018,SWBR,Borba,Amazonas,BORBA,30.0,-4.4061111,-59.6025,"04°24'22""S","059°36'09""W"
PA0019,SNMA,Monte Alegre,Pará,MONTE ALEGRE,99.0,-1.9966667,-54.071389,"01°59'48""S","054°04'17""W"
